,author,url,upvote,target_id,target_type,content,time,id
10,jiang-cheng-94-43-78,https://www.zhihu.com/question/62646673/answer/202145139,25,62646673,question,肯定会的。不用想了。如果他不退军，印度为什么出手？不是神经病了，而且现在都没有退后，很大可能是有国内很大利益在驱动。1年初印度货币改革，所有人都不可思议。2现在印度又在选举3美国原因首先我们来看一下纳伦德拉·莫迪，印度目前总理，实际上印度权利第一人14年凭借着之前主持的纳伦德拉·莫迪2001年10月担任印度古吉拉特邦首席部长，随后连续三届担任古吉拉特邦首席部长，担任吉拉特邦首席部长12年来，该邦的经济增长率跃居印度首位。莫迪减少行政过程中的繁文缛节，修建公路和电线，引进投资，让这个地方蓬勃发展，GDP增加了近两倍，大多数社会指标也有所改善。古吉拉特邦仅拥有印度总人口的5%，却占据国家近1/4的出口额。在竞选过程中，政治家的承诺往往来自特殊利益集团的慷慨解囊，莫迪却谈及将古吉拉特邦的经济快速增长和基础设施改善在全国复制，让民众耳目一新。[5-6] 莫迪强调自己“茶农之子”的卑微出身和对贫穷生活的见证与体验，他的背景和打拼经历也让印度人寄望他成为变革的催化剂。[5]（百度百科）他政治主张说白了，就是加大政府投入基建，引进外国投资。所以相比其它官员，一直靠着廉洁，勤勉对人。我们看上去很美好，但印度矛盾很多，比如修路，你可以快，但是涉及到具体到哪里，以及居民搬迁等。这里面都是赤裸裸的利益冲突，加上印度种族冲突，很大纷争。14年5月开始任职，现在3年了。这个时候货币改革后，为什么搞的比较大。很明显印度莫迪有些对于国内反对势力控制不了了。两个关键时间，一是印度目前在选总统，2印度6月份对美国进行国事访问。很关键的两个事，再来看印度前首相，前总理曼莫汉·辛格2015年3月11日印度法院传唤前总理曼莫汉·辛格，要求他作为被告的身份接受有关上届政府涉嫌非法煤矿分配的调查。印度报业托拉斯消息称，辛格面临预谋犯罪、违反信托和腐败等多项指控。印度最高法院去年裁定，辛格政府在分配该国近220座煤矿的程序中存在法律漏洞。而这些煤矿为印度提供了发电所需的2/3燃料。辛格自2004年开始执政直至2014年，成为涉入此次分配调查中职位最高的人物。据称，在他执政的10年里，他长期受到贪污指控的困扰。[10]因为不会上印度那边网站只能收集到这里前总理曼莫汉·辛格可是被誉为印度经济改革之父。题外话说一句，当年印度核弹就是他任期内公开核试验暂时从这些信息里面，印度纳伦德拉·莫迪其实看上去招术很简单，我要改革，解决印度种族问题，代表印度劳苦大众，我很廉洁，于是他提出反腐，而且打到前总理头上。反正我没钱，目前也他也是处于单身，没查到他有孩子状态。说白了，他政治想法就是推行基建，增加对内投资，提升贫民利益，打击印度腐败。反正我不贪，后面为孩子做的事情我也没必要考虑好了，回到之前两个关键点，一个改革，目前印度肯定问题很大，而且选举总统到时候对他有可能不利，甚至拉扯二个，去美国谋求我对付中国，你需要给我支持。好了，简单了。纳伦德拉·莫迪现在想到，我是不是可以适当和中国打一仗，只要不输，对国内我可以宣布赢了，哈哈，那是印度国父都失败的战役，我打赢了，多么大的政治声望，国内改革完全就可以继续下去其次，因为中美目前不可能交锋，而美国扶持那些小弟，在东南亚，一是美国离开太久二是很中国目前多牵扯太深。比如韩国，日本和中国发生战争，等同于美国自己出手了菲律宾，越南等，本来国内就有向中国靠近势力，加上国家经济落小，也不会出手。印度是个好帮手两个人一怕即合，我帮你，你出兵。里面还有什么就不知道了所以出现在印度洋里面。美日印三国频繁海上军事宴席7月10日起，美国、印度和日本在孟加拉湾举行“马拉巴尔”年度海上联合军事演习，这次演习是这项年度军演史上规模最大的一次。额，明显了。中国国外对策中俄“海上联合-2017”军演7月21日至28日在波罗的海举行，包括3艘中国舰艇在内的中俄10艘舰艇、10多架战机及直升机将参加演习。以及是非常厉害对峙了；但打不起来，海上。一打就是全球战争，美国不敢，中国也难谁都不愿意所以美国，英国等西方国家不可能调停，俄罗斯，无所谓。你打我可以买点军火。不过目前印度有两种声音，一种很强硬，比如中印对峙印度又有新动作 陈兵马六甲外阻挡中国海军印度外长声称已全副武装一种印媒称即使当年被打败 印度还总以为和中国差不多巴铁强硬回击印军 打死3名印度士兵摧毁3个哨所。印度现在对外有巴基斯坦和中国对内莫迪也压力山大如果莫迪走出来这一局，就太厉害了印度也会崛起，但愿不会看吧，局势很难预测,2017-07-22,202145139
11,lixk2016,https://www.zhihu.com/question/62646673/answer/201327757,234,62646673,question,两强相争，必有一尸。1.凛冬将至现在世界经济这么烂，钱都集中在全世界10%的富人手里，在全球化的影响下，强者愈强，弱者愈弱的马太效应就越来越显现。贫富差距不可调和，中国富人往美国跑，美国富人往瑞士跑，没有人在乎什么“先富带动后富”，都在玩今朝有酒今朝醉的游戏，哪怕死后洪水滔天。都想飞上天和太阳肩并肩了，那经济危机可能也就这几年的事。2.老老实实干活还不如吃尸体工匠精神是蠢蛋，一场广场协议，几张破纸，一个国家天天加班三十年的努力就回到了解放前，一夜之间所有的海外资产都变成了负债垃圾，还附送了“失去的二十年”。如果吃尸体这么爽快，哪谁愿意从耕地开始老老实实种豆吃呢？于是大家都排排坐，等着吃尸体，+1秒。3.鹬蚌相争，渔翁得利列强们好不容易有个大肆甩卖军火的机会，调停？没有在晚上笑醒就已经很有素质了。一边卖军火，一边卖点什么谴责啊，遗憾啊，同情啊，悲伤啊，这些表情包都是要当事国用真金白银来交换的。一想到连道德和良知都能卖个好价钱，于是整个世界都充满了活泼的空气。4.和为贵和为贵不是懦弱，和为贵是为了比命长。在复杂的环境里，首先要保存自己的实力，在这个比烂的世界里，要先看着别人变成尸体。甘地说过：弱者永远不会宽恕，宽恕是强者的特质。-----------这话说得够隐晦了。诸君，难道我们讨论的不是非洲大草原上，那些讲文明懂礼貌的动物吗？,2017-07-21,201327757
12,vgundam,https://www.zhihu.com/question/62646673/answer/201511428,108,62646673,question,都没有说到点子上，中国处理两国矛盾的原则就是双边协商，不接受任何形式的第三国参与，外卖部发言人强调了N遍啊。,2017-07-21,201511428
13,creamyluo,https://www.zhihu.com/question/62646673/answer/202032903,29,62646673,question,俩人在你家店里打的昏天黑地，你想好好做生意，就得拉架。你俩友商打的一地鸡毛，你是去拉架，还是趁机占便宜？,2017-07-22,202032903
14,na-yici-yang-wang,https://www.zhihu.com/question/62646673/answer/201575362,29,62646673,question,应该说现在还没到时候，事实上，世界各地边界对战多了去了，印巴间就现在正开着火呢，见有人调节么，最多出来一个呼吁双方克制的，而现在中印双方都挺克制的。。。另外，排名第一的说的也有道理，一来两国都属于谁也不服那种，二来内心巴不得真打起来！但这世界也是有基本法的，真要中印两国打起来还是会有来调停的，毕竟假装爱好是世界和平的国家也不少，只不过这调停可能是这样：调停国：有话好说，别动手呀！中国：他先动手的你问他！印度：我动手是有原因的，我也想谈判解决呀！中国：你先停手咱们再谈！印度：停手也不是不行，。。。调停国（抢话）：看来两位火气都挺大，我能力的限调停不了，两位继续！中国：。。。印度：。。。,2017-07-21,201575362
15,WanPlusSW,https://www.zhihu.com/question/62646673/answer/202063045,43,62646673,question,唯一有能力调停的第三国——美国自己屁股就干净辣？各位怕是忘了这个月都两艘美国驱逐舰闯南海了吧，这可比阿三只开挖掘机强多了吧，那可是货真价实的宙斯盾舰。怎么当时不提问一个“为什么中美对峙的时候没有第三国调停”？毕竟其中一方是中国啊，你要是印巴对峙那几大流氓都能调停。况且。真要说对峙，中国现在和世界第一经济强国（美国），第三经济强国（日本）对峙了已经不知道多少年了。印度？？？？？？？？？你把巴基斯坦换成GDP五万亿美元并且全心全意跟着中国走并且是世界上最强大的工业化国家之一这个设定……我觉得印度何止吓尿，怕是要吓得尿都尿不出来了。,2017-07-22,202063045
16,chahai,https://www.zhihu.com/question/62646673/answer/201411727,28,62646673,question,印度曾经有两个大哥，英国和俄罗斯。虽然印度仍然在英联邦里，但是英联邦成员国和英国不是从属关系，英国也做了其他人的小弟，等于不做大哥好多年。俄罗斯呢？以他现在的状态，心有余而余额不足，没钱给，还时不时的卖小弟点高价货物坑小弟一把。而且现在俄罗斯大哥最大的金主是中国，再能打也得吃饭啊。所以他帮哪边都不是，让两边各退一步？财神爷说不，你能怎么着？经济制裁？不帮中国说话已经算是给印度面子了，闭嘴是最好的选择。现在印度又想拉世界警察管？已经管了，美国白宫发言人说：“相信双方能为了和平，合理谋求更好的解决方案。”也就到此为止了。南海都怼回去了，美国不会找这晦气的。B哥和阿坤出矛盾，蒋先生出来调停，结局是B哥和阿坤都死了。乌鸦和浩南出矛盾，蒋先生和骆驼谈判，结果俩大哥都死了。现在，有实力才敢当大哥？但是中印这样的小弟，没有哪个大哥敢罩，也罩不住。,2017-07-21,201411727
17,sheng-fan-jin-yi,https://www.zhihu.com/question/62646673/answer/201676220,74,62646673,question,两国人口加起来超过全人类三分之一，谁敢调停啊。何况，都等着浑水摸鱼呢。,2017-07-21,201676220
18,superdullwolf,https://www.zhihu.com/question/62646673/answer/201712286,13,62646673,question,调停的正确姿势不是靠说的！巴铁发射的炮弹我认为是一种调停否则你说调停咋说？去跟谁说？印度西孟加拉邦的暴动事件我觉得是一种调停做为鸡脖子下的这个邦，最不希望战火烧到自己家乡，他们更希望中国能把路通到不丹，在不丹开拓市场，这样他们就算随便做点进口中国商品的生意都赚钱！,2017-07-21,201712286
19,qiu-xie-37,https://www.zhihu.com/question/62646673/answer/201567145,31,62646673,question,哎，中印打不起来的。印巴是死对头，作为巴基斯坦的全天候战略伙伴，我觉得就是中国帮巴基斯坦分担压力。你看中国也没干啥事，就引得印度紧张兮兮，经济有没有被拖垮我不知道，至少边境已经拖住了20万印军。况且那可是高原啊，据说日常补给消耗是平时的十倍啊！你说这么僵持下去，到底谁先受不了？补充一些我看到的资料(请自行判断)：1：中国修路→印度增兵阻止。中方：非争议领土，我想怎么修就怎么修。印方：咱俩没争议，不丹和你有争议，我替小弟出头。不丹:……(就是个傀儡，大家把它无视掉算了)2：真实原因印方：今天你修路，明天你就能造水坝，到时候我恒河水就变成你说了算，不行！中方：巴基斯坦是我小弟，原来你们平分的那块争议地区，现在你占三分之二了还想得寸进尺，我还没谴责你呢你还有脸过来？巴基斯坦：谢谢大哥为我做主，为表敬意，我先吸引一波火力。(反正和印度佬是世仇，不在乎)3：内情印度：货币改革之类的事，引得国内情绪太大，赶紧转移矛盾，顺便求大佬美国奶一波啊啊啊！！！中国：一。带。一。路。,2017-07-21,201567145
20,dan-guo-feng-97,https://www.zhihu.com/question/62646673/answer/201693947,33,62646673,question,岂止是没有调停，简直就是屏息以待。普京这时候估计都兴奋地直搓手，就差和特朗普干杯了。俄国已经在聚光灯下耍的太久了，都快要被烤熟了。这时候换中国印度上场，普京简直要兴奋哭了好么。,2017-07-21,201693947
21,wang-xian-sheng-61-17-71,https://www.zhihu.com/question/62646673/answer/217745231,107,62646673,question,先放结论，中国为啥不和印度打？因为中国这次战争中是在全世界范围内占便宜最少的国家。是的，中国和印度是两个很奇葩的国家。先说中国：工业体系最完善虽说质量还达不到顶尖但能自给自足，世界上唯一一个能够自给自足全部兵器装备的国家并且能承包中等国家的全部防务需求。印度：工业底子差的出奇，军工更是一塌糊涂连最基本的5.56子弹和火炮配套的炮弹都不能完全生产，从海军到陆军到空军全是万国牌。可想而知印度后勤压力到底有多大。举个简单的例子，当年印度和巴基斯坦在克什米尔打火炮战的时候，印度硬生生的把自己火炮弹药库里炮弹全打光了，自己无力生产炮弹，最后以高于市场价一倍的价格从以色列那买了10亿美元的弹药。和巴基斯坦打仗都这样如果和中国这种工业巨打的话后果真的很难想象。所以现在世界各国（美国、俄罗斯、欧盟、日本、韩国、以色列、东欧众小国）的心理是盼望着打起来狠狠从印度这宰一笔，断人财路如杀人父母，从这点来讲别说跳停了目前没第三国帮着印度挑衅中国已经说明中国的国际地位了。,2017-08-21,217745231
22,ni-er-da-ye-95,https://www.zhihu.com/question/62646673/answer/201977077,23,62646673,question,国际调停，就是小冲突调成大冲突，大冲突调成小战争，小战争调成叙利亚。基本上大国去调停小国的根本目的，就是我在这有利益，你俩打成狗头我不管，但是我的利益不能少，然后你看我们调节团这么多人，天天人吃马喂的，你这港口给我多开一个，你这个税给我少点，你这个矿因为打仗我停了几个月，你不得再给我点。啥，你不给(*￣m￣)，你敌国昨天让我卖他59，我看咱以往的关系，可没卖他，要不打个八折。还有，这里是交通要道，我给你火箭炮，你把他打了，以后路费给我二折。谁敢这么玩中印。,2017-07-22,201977077
23,eidosper,https://www.zhihu.com/question/62646673/answer/201611765,15,62646673,question,很遗憾，地球上不存在一个有26亿人口的国家。,2017-07-21,201611765
24,shang-fang-jian-82,https://www.zhihu.com/question/62646673/answer/200854216,16,62646673,question,抖个机灵，大概因为条是红的。Enforce a white peace between the target country and one of its enemies. You will join the war on the opposing side if the target refuses to accept the peace. 强制该国与一交战国讲和，该国如拒绝，你将加入其敌方与之交战。,2017-07-20,200854216
25,m3xiao-mo-gu,https://www.zhihu.com/question/62646673/answer/201594579,11,62646673,question,有资格调停的都在看戏呢,2017-07-21,201594579
26,shan-dong-de-hua,https://www.zhihu.com/question/62646673/answer/201380561,23,62646673,question,看了看大家的回答，基本上都胡扯。调停的前提是打起来，现在双方都很克制，根本不需要别人调停。打了之后自然会有很多国家冒出来表示遗憾、谴责、希望缓和局势,2017-07-21,201380561
27,yeane002,https://www.zhihu.com/question/62646673/answer/201899704,9,62646673,question,龙象之争，谁有能力调停？事不关己高高挂起。龙象之争，谁有能力调停？事不关己高高挂起。（内容为双方用身体堵住对方进攻。）（内容为双方用身体堵住对方进攻。）呐呢，六月份的对峙视频，不让公布。国家比实力，士兵比体力。你说最后谁是赢家？,2017-07-22,201899704
28,qia-si-mei-tian-jin,https://www.zhihu.com/question/62646673/answer/201853101,6,62646673,question,有能力调停的，不想调停。没能力调停的，干脆不表态。总之中印边境问题，是一个14岁阿三和18岁的人小中在闹矛盾，g8俱乐部那些3.4十岁的中年人巴不得你们打的断手断脚的，你懂我意思吧,2017-07-22,201853101
29,zhuang-bu-yu,https://www.zhihu.com/question/62646673/answer/201870485,1,62646673,question,我说你们吃瓜群众真是够了。一出点屁大的事就闹打仗。上次，就那个上次闹得多凶啊。国家代表都出来警告了。然而那时候我还在看熊出没。边境问题屁大点事就要打仗？可能中印两国钱多的没地方花了。就盘算着搞一波事情抄抄热点，上个头条，然后流量变现。手里的钱凭空多出来很多。嗯？,2017-07-22,201870485
30,,https://www.zhihu.com/question/62646673/answer/201370344,31,62646673,question,调的动的第三国都是这个态度只要不打成热核战争一发不可收拾他们是不想调停的而且看现在的局势，别说调停了，巴基斯坦拱火都打不起来,2017-07-21,201370344
31,an-xian-sheng-56-44,https://www.zhihu.com/question/62646673/answer/200800836,29,62646673,question,小国和小国打架，联合国调停，小国和大国打架，小国灭亡，大国和大国打架，联合国灭亡。,2017-07-19,200800836
32,ling-xian-chen,https://www.zhihu.com/question/62646673/answer/201654593,4,62646673,question,因为惯例是不调还没啥，两边先打打嘴炮，来俩搅屎棍一调，基本上就打起来了。,2017-07-21,201654593
33,sucktrees,https://www.zhihu.com/question/62646673/answer/202202578,8,62646673,question,想过没有？这不是两国政府对峙，也不是两队士兵比胸脯子肉，这是接近世界三分之一的人口在互相对峙。不需要任何第三国，中印一旦打起来，那就等于世界大战。而三战会如何不知道，而四战，则是石块木棒的战争。真的希望中印全面战争的人，可以给一顶反人类的大帽子了。,2017-07-22,202202578
34,jing-zhong-qiu-jing,https://www.zhihu.com/question/62646673/answer/204865027,8,62646673,question,周围每个国家都希望中印两个冲突更剧烈一点,2017-07-28,204865027
35,dong-feng-2-53,https://www.zhihu.com/question/62646673/answer/201655830,11,62646673,question,有时候，这种似乎要发生战争的紧张状态对政府是很有好处的，容易凝聚力量、转移矛盾。当前，两边政府心照不宣，看似对外，实则都是换取空间时间对内。藏南那十万平方公里的土地都被占了几十年了，收回来也不急在这一时半会的。,2017-07-21,201655830
36,ru-meng-74-20,https://www.zhihu.com/question/62646673/answer/200638847,9,62646673,question,小弟打架大哥出来调停，大哥打架你让谁出来调停？,2017-07-19,200638847
37,zheng-tian-ji,https://www.zhihu.com/question/62646673/answer/201576095,10,62646673,question,不要打架不要打架，印度农业不发达，他们需要金坷垃,2017-07-21,201576095
38,wang-jin-yang-70,https://www.zhihu.com/question/62646673/answer/201566691,8,62646673,question,俄罗斯暴揍乌克兰、格鲁吉亚的时候谁能调停的了？潘基文也去了，不好使。美国碾压阿富汗伊拉克的时候谁能调停的了？五常要动手，谁有调停的资格？,2017-07-21,201566691
39,,https://www.zhihu.com/question/62646673/answer/217878371,7,62646673,question,饿了么和美团打价格战使劲打折的时候，怎么没有用户出来调停。 ,2017-08-21,217878371
40,,https://www.zhihu.com/question/62646673/answer/201552744,7,62646673,question,年轻人没见过世面……南斯拉夫使馆，81192那会气氛比现在僵到哪去了，国家打仗又不是邻家撕逼。,2017-07-21,201552744
41,bei-bing-yang-de-feng,https://www.zhihu.com/question/62646673/answer/201624790,8,62646673,question,印度也在想：大哥们赶紧调停啊，我下不来台了，再这样闹下去我真要挨打了…,2017-07-21,201624790
42,,https://www.zhihu.com/question/62646673/answer/201496534,5,62646673,question,有，巴基斯坦。直接动手，简单粗暴。相比调停，其他国家更想卖武器给阿三……阿三每次挑事，都像军火大促销活动……,2017-07-21,201496534
43,ge-ba-te,https://www.zhihu.com/question/62646673/answer/200886793,7,62646673,question,兔子和大象打架，除了熊酱和鹰酱谁敢bb啊？,2017-07-20,200886793
44,flyflag-2,https://www.zhihu.com/question/62646673/answer/203308958,4,62646673,question,世界上第一大财神爷和第二大财神爷（财神爷代表广阔的市场、庞大的资金和劳动力，中东只能算狗大户）世界上第一大财神爷和第二大财神爷（财神爷代表广阔的市场、庞大的资金和劳动力，中东只能算狗大户）世界人口第一和第二的国家世界经济增速第一和第二的国家其中一个还是五大流氓之一你告诉我谁有这么大面子去调停这俩？英法的空架子顶多唬住印度美俄倒是有这个面子，可是美俄巴不得再添把火呢。特朗普刚在中东吃了东家吃西家，宰了沙特和卡塔尔一大笔，就不想再捞一把？俄罗斯又双叕被美囯制裁，正愁没处挣钱吃饭+更新军火中国的钱不好挣，印度可是皇冠买家！从没提过要批发价！你让美俄自己搅黄这生意？,2017-07-25,203308958
45,jian-fei-ke-82,https://www.zhihu.com/question/62646673/answer/201747091,4,62646673,question,第一，中国不是智障第二，印度不是shabi所以排除极特殊情况，大打出手不可能。第三，其他国家脑子也很正常调停，愣头青都不会去。不存在的,2017-07-21,201747091
46,147852369-14,https://www.zhihu.com/question/62646673/answer/201692842,4,62646673,question,中华人民共和国什么时候需要别国调停过？难道你们以为现在是中华民国啊？请人调停？,2017-07-21,201692842
47,oyshuai,https://www.zhihu.com/question/62646673/answer/201816212,3,62646673,question,老美怎么第一的？借着大孤岛的地理，撺掇英德大战两回。巴不得中印再来一次。该不该打印度？找准时机，直接打惨。卧榻岂容他人安睡？太平洋很大，或许可容中美，喜马拉雅山却无法阻隔印度的野心，地理决定，绕不开的。目前东面未安，只宜小打，不如不打。,2017-07-22,201816212
48,,https://www.zhihu.com/question/62646673/answer/201454224,4,62646673,question,其实不是不想调停，是都说不上话。毛子两边都是暂时的盟友和军火买主，没法得罪，欧洲吃瓜看戏，也插不上手，但是打起来对欧洲不是啥好事。最关键的美国，我真不觉得美国希望看见中印打起来，怎么看这俩都不好制裁的样子，既然你不能让中国伤筋动骨，让中国赢一场战争美帝要哭出声的。至于把印度这把烂泥扶上墙，貌似很有难度啊......其实你们没发现么，每隔一段时间周边都要闹一闹的，大家习惯就好。,2017-07-21,201454224
49,li-8t,https://www.zhihu.com/question/62646673/answer/201689078,5,62646673,question,印度是中国一带一路的搅屎棍，为什么不打？把东北泰米尔给丫整独立了,2017-07-21,201689078
50,mufeng-28,https://www.zhihu.com/question/62646673/answer/202130248,29,62646673,question,诸位，只要你去看看地图，只要你会看地图，就能明白这其中的奥妙。从洞郎到印度洋，也就200来公里。从中国到孟加拉国，也就100来公里甚至几十公里。孟加拉国人口不少，中国和孟加拉国链接起来，西有巴铁，东有东巴铁。东印度几个帮首先被肢解出去（和印度连接只有洞浪南边的几十公里宽。只要你能注意到这几个事实。想想中国的一带一路。想想对付一个和自己人口规模一样的大国要工业化。你就能理解中国该怎么做。你就能理解这个地方到底是怎么回事情。国家还是有高人的。,2017-07-22,202130248
51,wudaohq,https://www.zhihu.com/question/62646673/answer/202178026,2,62646673,question,尼泊尔应该站出来，发挥建设性的作用,2017-07-22,202178026
52,ling-mo-40,https://www.zhihu.com/question/62646673/answer/202163065,2,62646673,question,中国的原则是双边矛盾双边解决，你进一步我进两步然后退一步。从49年以后起哄的一般都没有好下场。一带一路大家待遇还没定呢，除了参加都分不到钱的几个谁还不是在等中央帝国的政策啊。那世界屋脊你炸平了和他们有啥关系不？,2017-07-22,202163065
53,wo-shi-wu-shang-jun,https://www.zhihu.com/question/62646673/answer/201541684,2,62646673,question,有资格的等着看热闹，真心想调停的，没一个有资格的。除了那四位，有资格给中国台阶的，哪还有了？,2017-07-21,201541684
54,liuxingchi-larry,https://www.zhihu.com/question/62646673/answer/201455755,2,62646673,question,这次冲突本来就是有能力调停的国家挑起来的…剩下的国家有哪个有能力调停这两个国家的冲突…,2017-07-21,201455755
