,author,title,content,time,id
11,,如何评价外交部8月2日对中印边界问题中国立场的声明？,"<p><a href=""https://link.zhihu.com/?target=http%3A//weibo.com/ttarticle/p/show%3Fid%3D2309404136320845885346"" class="" wrap external"" target=""_blank"" rel=""nofollow noreferrer"">印度边防部队在中印边界锡金段越界 进入中国领土的事实和中国的立场<i class=""icon-external""></i></a></p>",2017-08-02,63309477
12,liang-zi-qing-xuan,中印关系越来越紧张，会不会打起来呢？,如果要打，首先需要什么手续呢？五常默认？大国不直接进行军事支持？是不是还是那种快进快出的形式？<br>如果不打，中国是因为印度是有核国家而有所顾忌吗？邦交？还是什么其他原因？中印两国的军事实力有多大差距？<br><br>退一步说，中印之间的边境问题为什么到现在快60年了，都没有解决？中印的关系究竟怎样？,2017-07-26,62972374
13,hui-mou-yixiao-dao-cang-sheng,如果中印爆发核战，中国能否第一时间消灭印度的核反击力量？,,2017-07-20,62701247
14,chi-yu-de-mao-66-77,最近中印比较紧张去拉萨旅游安全么？,我是一名高三毕业生  想在八月份去拉萨旅游  但是最近中印边境比较紧张  各位大神能否帮忙给小弟解惑,2017-07-11,62313030
15,zhang-fen-zhuang,中印对峙，和平决绝后，中印关系又会如何发展？,中印可能会在建军节和平解决对峙问题。,2017-07-27,63026977
16,zhen-zhi-dao-liao-45,中苏对峙期间，苏联声称要袭击中国核基地，为什么美国要给中国撑腰？,,2017-07-08,62156111
17,huang-feng-32-85,中国驻印大使发公告提醒在印中国公民注意安全，这是要有所行动的迹象吗？,"<img src=""https://pic4.zhimg.com/50/v2-599691640b94cb3d34682bf53baa357f_hd.png"" data-rawwidth=""1080"" data-rawheight=""1920"" class=""origin_image zh-lightbox-thumb"" width=""1080"" data-original=""https://pic4.zhimg.com/v2-599691640b94cb3d34682bf53baa357f_r.png"">",2017-07-08,62166223
18,yu-shu-19-39,国外发生过哪些「中国行我也行」或成功或失败的事例？,"<p><a href=""https://www.zhihu.com/question/63616496"" class=""internal"">中国发生过哪些「外国行我也行」的成功或失败的事例？</a>镜像</p>",2017-08-07,63536572
19,lancy-lan,中国对印度束手无策了？,中印边界问题,2017-07-20,62719501
20,zheng-da-guang-ming-37,印度为何刚加入上合就和我们中国搞事情？意欲何为？,,2017-07-05,62054631
21,tian-sha-gu-xing-55,如果中国第一时间炮轰越境印军会怎样？,记得当年俄罗斯炮轰中国渔船不？轰了之后不是也没咋样？中国也没抗议，不了了之，还是好的甜如蜜。所以我们如果也对印越境就打是不是同样正确？是不是可以镇摄阿三？,2017-07-17,62534145
22,chen-cong-55-13,请问西方国家怎么看待此次中印边界对峙事件？,,2017-07-11,62272549
23,liu-gu-jian,台湾人对本次中印对峙怎么看？,如题,2017-07-13,62397592
24,wang-long-fei-37,如何评价7月8日中印剑拔弩张态势下印巴在克什米尔地区激烈交火？,"<img src=""https://pic3.zhimg.com/50/v2-63181fc1c61860cbfa7bc209274ea896_hd.jpg"" data-rawwidth=""562"" data-rawheight=""750"" class=""origin_image zh-lightbox-thumb"" width=""562"" data-original=""https://pic3.zhimg.com/v2-63181fc1c61860cbfa7bc209274ea896_r.jpg""><br>rt，来个大手子分析一下。",2017-07-08,62173518
25,yan-shu-zhu-39,中印边界冲突是什么?,,2017-06-26,61623292
26,bu-en-46,如何看待最近中印关系紧张之时，普京为印度建国70周年送来贺电？,在印度独立70周年之际，俄罗斯总统普京向印度总理莫迪发去贺电，称将加强与印度的战略伙伴关系。<br><br>据俄罗斯塔斯社8月15日消息，当天正值印度庆祝独立70周年纪念日，普京向莫迪发去贺电，高度评价印度近年来在经济和社会等领域取得的成就，并赞扬印度在国际舞台上发挥的影响力。<br><br>“俄印关系始终基于友谊和互相尊重的原则。我们积累了丰富的经验，在所有领域开展了卓有成效的双边合作，并在协调区域和全球性问题上共同努力”，普京在贺信中强调。<br><br>普京重申，俄罗斯愿意与印度继续开展合作，加强俄印特有的战略伙伴关系，造福两国人民，确保国际形势稳定与安全。<br><br>今年也是俄印建交70周年，莫迪6月曾访问俄罗斯，与普京共同发表了《圣彼得堡宣言》，并就库丹库拉姆核电站、联合科研、文化交流等议题签署了一系列文件。双方希望采取措施，切实扩大经贸合作。<br><br>《印度斯坦时报》曾指出，近年印俄经贸关系表现不尽如人意，尤其是在2015年遭遇了严重下滑。在复杂的国际背景下，两国关系正在经受考验。<br><br>但在军事方面，俄印关系依然密切。作为俄罗斯军事装备的大买家，目前印度军队中70%的武器装备来自俄罗斯。两国每年也举行大量的军事交流，包括技战术交流与联合军事演习等。<br><br>今年10月，印度与俄罗斯即将首次举行陆海空三军一体化参演的联合军事演习，加强战区联合指挥层协调，进一步深化两国本已密切的军事联系。,2017-08-22,64261240
27,,如何看待微博上对中印冲突厌战态度？,"总所周知，此次洞朗边境对峙的性质就是印度侵入了无争议的中国领土。而目前微博上的舆论方向却是不能打战把侵略者赶出去，打战会死人，一副贪生怕死的弱者形象。<br>一方面是媒体攻势猛烈，另一方面舆论被清一色的“求和”一方所主导！中国人什么时候变得这么没骨气了？现在很怀疑是不是政府在有意的引导舆论？<br><br><img src=""https://pic1.zhimg.com/50/v2-bf89bc19c61a4019a31b685be23158b4_hd.png"" data-rawwidth=""1080"" data-rawheight=""1920"" class=""origin_image zh-lightbox-thumb"" width=""1080"" data-original=""https://pic1.zhimg.com/v2-bf89bc19c61a4019a31b685be23158b4_r.png""><br><img src=""https://pic2.zhimg.com/50/v2-e8538a2ec0805b4fce5c4b05817c5ae5_hd.png"" data-rawwidth=""1080"" data-rawheight=""1920"" class=""origin_image zh-lightbox-thumb"" width=""1080"" data-original=""https://pic2.zhimg.com/v2-e8538a2ec0805b4fce5c4b05817c5ae5_r.png""><br><img src=""https://pic4.zhimg.com/50/v2-ea47eeea19b8a6d01f6093570768be1b_hd.png"" data-rawwidth=""1080"" data-rawheight=""1920"" class=""origin_image zh-lightbox-thumb"" width=""1080"" data-original=""https://pic4.zhimg.com/v2-ea47eeea19b8a6d01f6093570768be1b_r.png""><br><img src=""https://pic3.zhimg.com/50/v2-0600d4e06e47302842395c13b8e45202_hd.png"" data-rawwidth=""1080"" data-rawheight=""1920"" class=""origin_image zh-lightbox-thumb"" width=""1080"" data-original=""https://pic3.zhimg.com/v2-0600d4e06e47302842395c13b8e45202_r.png"">",2017-08-07,63519242
28,xi-er-bo-te-27-59,临沂徐州对峙事件怎么回事？,新闻,2017-07-25,62941041
29,ge-shi-yige-you-gu-shi-de-ren,中印对峙会否导致中国的资本进一步外流？,,2017-07-15,62454918
30,,如何看待关于中印对峙的新闻中，评论区里“你行你上”这种言论？,印度侵入洞朗已经三个月了<br>在各大网站论坛关于中印对峙的新闻中，评论区里大致有这么几种声音<br>“真鸡儿软弱，等着割地赔款吧”<br>“智库的战略构思是你喷子键盘侠能比的吗，<br>中国在下大棋，战略布局能被一个二流国家破坏吗”<br>“你们这些喷子天天叫嚣打仗，打仗死的又不是你们，你们早吓尿裤子当汉奸了”<br>“成天叫嚣打打打，你行你上啊”<br>当然还有嘲笑印度摩托车的。<br>我最纳闷的就是你行你上这种言论，怎么？外敌入侵赖在国土不走，你不上，我也不上，那么放弃抵抗吧,2017-08-05,63450438
31,jiang-yong-yong-2,如何看待印度入侵我国，双方对峙一个月，我方未将其驱逐出境。？,,2017-07-20,62676091
32,wang-de-85-85,洞朗的意义是不是孟加拉湾出海口？对孟加拉国和缅甸加强存在和影响力？,,2017-08-14,63870142
33,gao-qiang-11,洞朗的边界冲突，会不会坐实印度在不丹的军事存在，导致不丹被吞并？,,2017-07-11,62302939
34,lao-yan-95-66,上合组织6月接纳印度为会员国，当时中印已经在洞朗地区开始对峙了吗？,,2017-07-25,62915007
35,yue-zhao-ren-40,如果中印因为洞朗地区发生战争，会对中国产生什么样的影响?,对国内舆论，经济，在印的中国企业，“一带一路”建设，国际舆论，以后的中印关系，欧美国家是否会出手干预等等。,2017-07-25,62929163
36,dashetou,在洞朗对峙地区宣布设立军事演习区域，撤离部队，轰炸，可行吗?,,2017-07-25,62936394
37,chen-qian-41,如何看待 人民日报：莫迪并未就洞朗问题直接发声 新闻？,"<a href=""https://link.zhihu.com/?target=http%3A//m.sohu.com/a/162514203_157267%3F_f%3Dm-index_top_news_3"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">m.sohu.com/a/162514203_</span><span class=""invisible"">157267?_f=m-index_top_news_3</span><span class=""ellipsis""></span><i class=""icon-external""></i></a><br><br>实在有意思额。作为中共中央党内的第一大媒体，出来说莫迪没发声想和平的意愿。目的真的是拆印度的回去的梯子？",2017-08-06,63475958
38,huangjianhua-36,想搞清真相和走向吗？一问中国为什么在洞朗修路？,,2017-07-14,62440177
39,yue-ming-hai-36,现在去亚东县可以吗？洞朗能去吗？,1、现在从拉萨自驾去亚东县可以不？<br>2、洞朗草场能去嘛？想去看看祖国的威武之师，与边境状况,2017-07-25,62938392
40,wang-bu-yi-32,洞朗事件和九一八事变有何异同？,,2017-08-19,64117112
41,qi-xin-you-yang,怎样看待中印边境对持事件里 印巴边境炮击事件的发生？,,2017-07-09,62193762
42,zhang-jian-yi-2,如何从经济角度看待这次的中印两国边境冲突问题，会不会促进军工业的发展呢？,比如军工业，谁会是这次冲突的受益方呢？对中国的经济是起到促进的作用还是起到了不好的影响呢？,2017-08-05,63461458
43,qi-min-83-47-30,中印边境形势愈加紧张，为何中企会依旧选择在印度进行投资大礼？,印度  边境紧张,2017-07-10,62255814
44,deng-yi-95-84,目前的中印边境问题，中国外交部有正式照会印度政府提出我方要求么？,网上大概看了一下，都是外交部发言人在答记者问的时候说一下情况。<br>难道这么多天过去了连个正式照会都没发？,2017-07-22,62766834
45,hubert2k,为什么在中印面临边境冲突时，大胆的美的管理层还敢去印度设厂？,"<p>他们真的认为印度制造的产品可以更赚钱吗？还是想玩其他的东西，偷偷转移资产到海外？</p><p>消息来源：<a href=""https://link.zhihu.com/?target=http%3A//laoyaoba.com/ss6/html/62/n-643762.html"" class="" wrap external"" target=""_blank"" rel=""nofollow noreferrer"">日经：取代中国 印度可能成为世界新工厂<i class=""icon-external""></i></a></p><p>据日本经济新闻报导，中国美的集团将投资80亿卢比（近40亿台币）新建冰箱和洗衣机工厂，急起直追日韩大企业。 而美的决定新建工厂，便可能受益于这种投资环境改善。</p><p>此外，台湾的鸿海精密工业将提高当地智能手机等的代工产能，并向国外供应。 而拥有超过13亿人口，经济持续增长的印度正日渐蜕变为机电产品生产基地。</p><p>据日经报导，美的集团副总裁顾炎民针对在印度新建工厂一事，在声明中强调称，印度是掌握全球成长关键的市场，未来将成为重要的生产基地。</p><p>美的将在印西部马哈拉施特拉邦浦那的工业园区建厂，2018年底前投入运行。 而在年产能方面，冰箱为50万台，洗衣机为60万台，饮水机为100万台。 此外，新工厂还将制造压缩机和马达等零组件。</p><p>而在空调领域，美的已经与美国大型企业开利空调（Carrier Corporation）展开阖资生产，将全面启动主力产品白色家电的本地化生产。 新工厂将同时设置研发中心，顾炎民表示，将开发符合印度人需求的产品。</p><p></p>",2017-07-13,62372029
46,zhi-zhi-zhi-zhi-41-41,如何看待印度经济数据全面暴跌，逾50万人街头抗议与中印边境撤离村民？,"<a href=""https://link.zhihu.com/?target=http%3A//finance.ifeng.com/a/20170807/15570667_0.shtml"" class="" wrap external"" target=""_blank"" rel=""nofollow noreferrer"">印度后院起火：经济数据全面暴跌 利率降至7年来最低<i class=""icon-external""></i></a><br><a href=""https://link.zhihu.com/?target=http%3A//finance.sina.com.cn/stock/usstock/c/2017-08-10/us-ifyixiar9094161.shtml"" class="" wrap external"" target=""_blank"" rel=""nofollow noreferrer"">印度逾50万人街头抗议要求就业 孟买交通瘫痪<i class=""icon-external""></i></a><br><a href=""https://www.zhihu.com/question/63709115"" class=""internal"">如何看待印度村庄撤离村民？</a>",2017-08-11,63732082
47,ge-ming-shan-66,中印边境如何了？撤军了么？别弄的像钓鱼岛那种乌龙吧？,,2017-07-27,63040258
48,liang-liang-jun-37,如何看待中印边境摩擦，你是认同战争解决还是调和解决？,最近网上大多很多喷子说支持战争解决中印边境问题，然后各种谩骂。首先，我自己认为目前就国际形势来说中国不应该用战争解决问题，其次战争不是解决问题的主要方法，如果能通过和平手段解决为什么要战争？,2017-07-19,62635378
49,jin-tian-zhi-zuo-yijian-shi-28,就中印边境对峙局势 近期去尼泊尔旅行会有什么影响么？,如题,2017-07-25,62940322
50,,如何针对近日中印边境问题作即兴评述？,如题。能否提炼大国责任和领土主权不容侵犯的主题？,2017-08-05,63464411
51,,中印如果真的爆发战争，中国的目标会是掐断西里古里走廊还是仅仅将其赶出边境息事宁人，亦或是有其他打算？,,2017-07-18,62581925
52,,这么久了 很多人都不在乎中印边境问题了？,几乎每天都去看一遍中印对峙最新消息，口口声声都是“坚决”、“只有”、“必须”、“耐心有限”。可是人家就是不走。为什么不解决呢？ 谈判的消息呢？  真的很失望，就像被人欺负了还不敢还手。看过很多人的回答，大家都很理性，可是真憋屈。总让步能带来什么好处，让他们得寸进尺？以后习惯了让步 ，大家都觉得你好欺负，联合起来欺负你，更打不过。打仗除了一个古代的“退避三舍”，真的没听过退缩会得人心，赢天下的。既然有实力，为什么不敢发脾气？希望祖国用行动告诉犯华者诛！,2017-08-02,63281256
53,wu-liao-de-li-xian-sheng,此次中印边境事件，印度对内舆论说辞是什么？,每次但凡有国际冲突，中国必然是正义和委屈的一方。 <br>那么印度在他们自己看来应该也是一样的吧！<br>所以好奇，他们对内是怎么宣称的，凭什么你越过边境线，还那么理直气壮？,2017-07-21,62726092
54,liu-yi-ran-74-51,国外（网友和媒体）怎么看2017年中印边境冲突？,这次边境冲突想知道国外如何宣传的,2017-07-05,62050274
55,chen-chen-36-35-69,如何从历史方面解释中印洞朗对峙的原因？,,2017-07-28,63096151
56,qing-huan-66-90,宋金长期对峙的原因？,,2017-07-01,61864010
57,feng-yu-zhe-41-65,外国媒体是如何报道中印对峙事件的？,如果发生冲突外国政府会怎样反应？......旁观？调解？谴责？制裁？......,2017-07-17,62544516
58,tang-yang-49,就目前印军非法越界事件会导致中印战争吗？,,2017-07-30,63143141
59,jzhang-15,中印对峙一个多月，为什么前段时间都没什么新闻，最近媒体却炸开了花，各种文章泛滥。这有什么政策导向？,无,2017-07-30,63139600
60,andear123,在印度越锡金边界、中印敏感时期，印巴在克什米尔地区冲突，对中国有什么影响？,巴基斯坦向克什米尔地区开火，对中印外交关系的处理，有什么影响？,2017-07-08,62176151
61,xi-huan-ao-xiang-de-yu-er,印度军队打算长住洞朗了吗？,都已经一个多月了，印度军队还是待在中国的国土上。我们要是不动手，那他们待上个三五年，这地方指不定就是他们的了。如果他们吃到甜头，在其他方向上也这么干，我觉得印度军人指不定哪天就出现在拉萨。请大家解惑。还有，社会上的不良风气不可避免的会影响到军队。再加上西方的舆论洗脑，现代军人还有老一辈的精神信仰吗？一只风气不良，没有信仰的军队能够承担保家卫国的重任吗？,2017-07-25,62926369
62,soulmate-66-60,洞朗地区的历史渊源是怎样的？,,2017-07-07,62106711
63,ke-jian-22,姬大对此次洞朗事件怎么看？,,2017-07-31,63197676
64,zheng-yu-89-15,中印边境对峙事件最后可能会以一种什么样的方式结束？,,2017-07-11,62285151
65,,中印边境问题对中国有何好处？,既然魔笛制造中印矛盾有助于内部冲突严重的印度团结。将内部仇恨转为一致对外。<br>那中国是否也能借此机会解决国内的一些问题？<br><br>当然我不认为能解决绿教问题，毕竟有这种极端信仰的人心中有教无国，就算中国快灭亡了教徒也不会有一丝悲哀，反倒会趁火打劫……,2017-07-28,63078363
66,anendjib,中印边境问题的真实情况是怎样的？,,2017-07-23,62823750
67,,当前中印边境对峙事件的深层原因是什么？,中德日墨，特朗普，贸易萎缩，战争，转移焦点，政治,2017-08-05,63429799
68,hww-78-58,能不能以文明游戏模拟中印边境对峙？,席德梅尔大师的文明系列非常经典，我以前玩的多，最近几年玩的少了，岁数大了扛不住游戏时间太长。对于天朝和阿三的边境纠纷，很多人恨不得立即开战，可是有那么容易吗？我玩文明的时候，也会经常遇到各种各样的越界入侵，若是弱鸡势力，外交嘴炮就可以驱逐出境，若是野心勃勃的势力，顾问会建议谨慎从事，这时候我要看看敌我实力差距，入侵点周边敌我力量对比，我方其他方向是否还有冲突，敌方有木有军事同盟，我方在敌方边境有木有潜在民众，……考虑很多，如果条件不成熟，我也得忍耐啊[捂脸]，兵者国之大事，我方如果没准备好就开战，心气是爽了，可是战场上有阵子肯定得吃瘪，一边放嘴炮一边调兵遣将，外拉帮结派，内修路战备，条件好了，立即驱逐，动手第一波就把入侵者怼的损失惨重，后面再看形势发展……有时候，精良的游戏就是人类社会的一个参照，今天有木有达人多人联机模拟下边境对峙，好想当个低端的兵棋推演啊,2017-08-06,63505768
69,hu-zhong-jun-79,中印边境对峙，北极熊会从中渔利嘛？,,2017-08-04,63389702
70,kan-tai-yang-60,中印边境这两天怎么样了？,"你<br><img src=""https://pic1.zhimg.com/50/v2-f698d4f0cabd0a91f737406fabd1e804_hd.jpg"" data-rawwidth=""640"" data-rawheight=""640"" class=""origin_image zh-lightbox-thumb"" width=""640"" data-original=""https://pic1.zhimg.com/v2-f698d4f0cabd0a91f737406fabd1e804_r.jpg""><br>简析中国将活动那些好处好坏处",2017-07-12,62341705
71,bo-wen-41-57,中印打仗，中国的任务是将其赶出国界线，还是会纵深攻占边境城市？,,2017-08-05,63442262
72,,此处中印对峙是不是可以看出西部边境铁路网很欠缺?,根本无法满足大规模，高强度战争的物流供应?,2017-07-06,62100166
73,chuan-qi-de-leo,为什么中国和巴基斯坦不趁此次中印边境冲突一举解决一起进攻印度解决三国边境冲突？,如题,2017-07-06,62077467
74,wen-xin-12-43,如何看待印度拳王舍弃金腰带欲换中印边境和平？,"<img src=""https://pic1.zhimg.com/50/v2-4edd77506599e30745787b92e897ad28_hd.png"" data-rawwidth=""540"" data-rawheight=""960"" class=""origin_image zh-lightbox-thumb"" width=""540"" data-original=""https://pic1.zhimg.com/v2-4edd77506599e30745787b92e897ad28_r.png"">",2017-08-06,63503018
75,cheng-lei-26-4,当前中印边境对峙的根本原因是什么？,,2017-07-08,62181548
76,jue-sheng-qian-nian-zhi-wai,中国很跟印度对峙了这么长时间了，都在干啥呢？,中国能在边境短时间内击败印度吗,2017-07-12,62339547
77,yang-jing-gang-19,中印爆发战争的可能性有多大？,,2017-07-16,62517409
78,xiao-cui-5-46,中印战争爆发的时间点？,印度侵略中国两个多月了，我们还在抗议谴责通牒，国内媒体也一直在宣传印度如何乱如何弱，这种舆论很危险，试想连如此弱的一个国家都敢在头上拉屎，那我们以前所谓的强国谎言就戳穿了，所以唯有一场战争来证明。但是会在何时爆发？,2017-08-06,63506321
79,xiao-ma-bie,最近的中印局势如何看待，未来将如何走向，各种走向会有什么后果？,<p>最近的中印局势如何看待，未来将如何走向，各种走向会有什么后果？</p>,2017-07-12,62327149
80,peng-hui-ping-23-52,中国如何在第二次中印战争中战胜印度，并肢解它？,,2017-07-07,62117398
81,luo-ke-ma-xi,如何看待印度空军直升机在中印边界失踪这条新闻？,"<a href=""https://link.zhihu.com/?target=http%3A//www.guancha.cn/Neighbors/2017_07_05_416677.shtml"" class="" wrap external"" target=""_blank"" rel=""nofollow noreferrer"">印空军一直升机在中印边境地区失联 正执行洪水救援任务<i class=""icon-external""></i></a><p>是真是假，是否会给予印度借口？</p>",2017-07-05,62058614
82,li-wei-yi-68-71-38,十一想和男票一起去印度旅行，现在中印局势这么紧张，去了会有危险吗？,印度旅行安全性,2017-08-01,63261897
83,,现在中印重演1962的冲突，中国后勤供应的上吗？,,2017-07-03,61951225
84,yang-tao-86,中印擦枪走火会不会引起第三次世界大战？,中印都是世界人口大国，中印大战是俄美都希望发生的事情，接下来的一段时间会不会发生第三次世界大战？,2017-08-06,63502033
85,pan-yi-wei-18,中印边境冲突会影响到拉萨么？7月25出发去西藏了，紧张？,,2017-07-23,62811578
86,yuan-jing-shi-chuan-de-gu-ji,中印对峙对策找佛学大师智慧指导合适吗？,"中印对峙洞朗问题，寻求对策出路上看，我有一个不情之请，方案对策原理为什么不寻求佛学大师智慧呢？<br><img src=""https://pic4.zhimg.com/50/v2-5f737d8f064dc172368287a6fba5bf9f_hd.jpg"" data-rawwidth=""1080"" data-rawheight=""615"" class=""origin_image zh-lightbox-thumb"" width=""1080"" data-original=""https://pic4.zhimg.com/v2-5f737d8f064dc172368287a6fba5bf9f_r.jpg""><br>回答很简单，政统有政统的文化，法儒释道也是属于政统文化之下的隶属文化。简单的说，法儒释道精神仅限于国内国事操控。对于这种两国或多国的国事操控，就要运用到政统文化思想指导。中国历经千年战乱文化文明，传统文化法儒释道并不是最优秀的，最优秀的而是帝统文化，造就了“魔主先，佛从后，无魔不成佛”的魔学经典《冤经》之著！中印对策及原理，由此即可唤之即出。（我只知道每个国家都有政统文化，但不知道他们全不全，中国经籍是《冤经》）  。请大家评评！政统文化可以又叫帝统文化，这次中印交恶，诸如:游说、奸计、反奸计、间谍、反间谍、外盟内抚、舆论、收买等等战争诡计活动，新闻媒体时事是不会随意告知百姓的",2017-07-16,62525518
87,zhuan-lou-yi-zhi,关于推背图45象，是不是说今日中印对峙事件？,,2017-08-04,63410951
88,jiu-shi-guang-li-wei-xun-shao-nian-30,中印边界问题已经四十多天了，我们究竟在等什么？,印度军队已经入侵我们边界内持续四十天了，人民日报，央视新闻的微信客户端每天都在推送消息告知大众事态进展，同时传递给大众一个我们绝不容忍的态度，我看到每天推送的评论都是那些“扬我军威”“虽远必诛”之类的为我们自己打气的话。可是这么长时间了，为什么没有拿出实际措施来捍卫我们的主权？我们在等什么？,2017-08-02,63308327
89,liang-jian-57-24,对印度，最好和最差的结局是什么呢？大家都来说说……？,,2017-07-13,62364450
90,tai-bao-81,若必战，你对印度的胜战方案？,不好战，但忘战必亡。<br>国承平日久，官民皆守韬晦之策，一心向钱，血性渐失。<br>复兴途中，关隘险阻重重，若不计肖小如菲、新、越等，遭遇体量如美、日、印等，利益冲突至不可调和，必战。基于现实，你的战胜方案？请以印度为例。,2017-07-18,62615217
91,,如何看待央视针对印度越界一事发出「勿谓言之不预」？,"<p>最近中印边界问题似乎挺热门的，外交部也拿出了印方越界的证据。这次央视评论员在节目中发出了「勿谓言之不预」，如何看待？（还没到人民日报这一步）</p><img src=""https://pic1.zhimg.com/50/v2-0b80e8aebcc7b1ce1be9955dc0fdf32c_hd.png"" data-rawwidth=""801"" data-rawheight=""447"" class=""origin_image zh-lightbox-thumb"" width=""801"" data-original=""https://pic1.zhimg.com/v2-0b80e8aebcc7b1ce1be9955dc0fdf32c_r.png"">",2017-07-02,61924114
92,shuhoching,如何评价人民日报的微博文章《@印度，#界线即是底线#！》？,"<a href=""https://link.zhihu.com/?target=https%3A//m.weibo.cn/2803301701/4126852425300376"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">https://</span><span class=""visible"">m.weibo.cn/2803301701/4</span><span class=""invisible"">126852425300376</span><span class=""ellipsis""></span><i class=""icon-external""></i></a>",2017-07-07,62119505
93,shi-san-shu-51,中印边境对峙口水战要预计会持续多久？,中印边境,2017-08-11,63749918
94,yige-ren-ai,如何看待印度国防部长对中国声称自己不再是1962年的印度？,近日中印在唯一确定边境线因中国在中国一侧修公路起争端,2017-07-02,61925791
95,,为什么中国在外交和军事层面总给人一种不强硬的感觉？,<p>比如在国民眼中，外交部除了抗议和打嘴炮，什么用处都没有</p><p>军事中，中印边境冲突这么久，中国也一直畏畏缩缩的</p><p>为什么在外交和军事层面就不能强硬一点呢？</p>,2017-08-01,63266188
96,adgai-nai-58-54,为什么三哥对环球时报怨念那么深？,,2017-07-08,62174738
97,ri-yue-zhong-kai,如何评价中印边界？,,2017-07-15,62453508
98,qi-xian-sheng-55-80,中印崛起是否在此一役？,,2017-07-21,62731320
99,shun-fa-ge,2017中印对峙的本质是什么？此次对峙深层次的原因是什么？,中印对峙,2017-07-08,62163041
